"","Chromosome","centromere","plus10Mb","minus10Mb","genome"
"1","1A",0.753246753246753,0.012987012987013,0,"A"
"2","2A",0.738095238095238,0.0357142857142857,0.0119047619047619,"A"
"3","3A",0.852631578947368,0.0210526315789474,0,"A"
"4","4A",0.836734693877551,0,0.0102040816326531,"A"
"5","5A",0.834710743801653,0.0165289256198347,0,"A"
"6","6A",0.854368932038835,0.00970873786407767,0.029126213592233,"A"
"7","7A",0.843137254901961,0.0196078431372549,0.0294117647058824,"A"
"8","1C",0.333333333333333,0.181818181818182,0.0303030303030303,"C"
"9","2C",0.296296296296296,0,0.148148148148148,"C"
"10","3C",0.294117647058824,0,0.0588235294117647,"C"
"11","4C",0.142857142857143,0,0.19047619047619,"C"
"12","5C",0.303030303030303,0,0.0303030303030303,"C"
"13","6C",0.421052631578947,0,0,"C"
"14","7C",0,0.0952380952380952,0.142857142857143,"C"
"15","1D",0.701298701298701,0.025974025974026,0.012987012987013,"D"
"16","2D",0.686746987951807,0.0120481927710843,0.0240963855421687,"D"
"17","3D",0.865853658536585,0,0.024390243902439,"D"
"18","4D",0.694444444444444,0.0416666666666667,0,"D"
"19","5D",0.802469135802469,0.0123456790123457,0.037037037037037,"D"
"20","6D",0.852941176470588,0.0147058823529412,0.0147058823529412,"D"
"21","7D",0.810526315789474,0,0.0210526315789474,"D"
