fam	class	subgenome	percentage	value_bp	total	total_cen	fl_copies
Ava	frag	A	20.6770134693866	13406269	20752934	64836583	0
Ava	full	A	11.3310490159545	7346665	20752934	64836583	851
Ava	frag	C	5.53300366099521	3495545	4973320	63176264	0
Ava	full	C	2.33913008847753	1477775	4973320	63176264	172
Ava	frag	D	18.5143908562022	11208954	16211614	60541846	0
Ava	full	D	8.26314414000525	5002660	16211614	60541846	589
Beth	frag	A	15.143146886689	9818299	11188589	64836583	0
Beth	full	A	2.11345190723577	1370290	11188589	64836583	206
Beth	frag	C	3.46595835423253	2189663	2215058	63176264	0
Beth	full	C	0.0401970588194326	25395	2215058	63176264	4
Beth	frag	D	12.4768164485767	7553695	9626007	60541846	0
Beth	full	D	3.42294154690955	2072312	9626007	60541846	307
Cereba	frag	A	15.065366723598	9767869	14509815	64836583	0
Cereba	full	A	7.31368894008495	4741946	14509815	64836583	625
Cereba	frag	C	0.327974443059818	207202	291959	63176264	0
Cereba	full	C	0.134159563471496	84757	291959	63176264	11
Cereba	frag	D	14.9425093513006	9046471	13449986	60541846	0
Cereba	full	D	7.27350632816845	4403515	13449986	60541846	581
